nodenumber     x-coordinate     y-coordinate     z-coordinate
       266   -3.5525726385E-02   -2.9613763804E-02    4.6190813147E-02
       267   -3.5520963777E-02   -2.6642241182E-02    2.9621716863E-02
       268   -3.5506335509E-02   -3.4105580431E-02    2.9978806037E-02
       269   -3.5496569598E-02   -2.3087200114E-02    3.9830428717E-02
       270   -3.5490776179E-02   -1.3265864639E-02    1.2445291060E-01
       271   -3.5476962888E-02   -3.3243932822E-02    2.8686986329E-02
       272   -3.5476051425E-02   -3.5076028156E-02    4.1716598087E-02
       273   -3.5472154529E-02   -2.5281066414E-02    3.1540992593E-02
       274   -3.5471581903E-02   -1.2706482106E-02    1.2510382570E-01
       275   -3.5470257421E-02   -3.2538391153E-02    2.8056709715E-02
       276   -3.5465102565E-02   -2.3575935655E-02    4.2732517223E-02
       277   -3.5465076637E-02   -3.6153979032E-02    3.7669086548E-02
       278   -3.5461917852E-02   -2.1930347460E-02    1.2081273030E-01
       279   -3.5460547552E-02   -2.7219198825E-02    2.8479934116E-02
       280   -3.5459988797E-02   -3.4091545338E-02    2.9584249831E-02
       281   -3.5451800817E-02   -3.4177813157E-02    2.9645873077E-02
       282   -3.5448145779E-02   -1.0088544326E-02    1.3028889396E-01
       283   -3.5426605510E-02   -2.9145280090E-02    2.7193347261E-02
       284   -3.5423953520E-02   -2.9931932272E-02    2.7054491096E-02
       285   -3.5422422354E-02   -3.1477955508E-02    2.7246157223E-02
       286   -3.5419915084E-02   -2.2164874046E-02    1.3231105253E-01
       287   -3.5412738820E-02   -9.6544518205E-03    1.3241155233E-01
       288   -3.5409905262E-02   -2.4818283058E-02    3.1990277491E-02
       289   -3.5403613539E-02   -2.4806747253E-02    3.1957888757E-02
       290   -3.5402965840E-02   -2.5512394320E-02    3.0433004251E-02
       291   -3.5395008637E-02   -1.6296313913E-02    1.3372779065E-01
       292   -3.5392428209E-02   -2.7252072951E-02    2.8001396652E-02
       293   -3.5385701670E-02   -2.3610339076E-02    3.4944962207E-02
       294   -3.5385693449E-02   -3.4036022680E-02    2.8947785752E-02
       295   -3.5384451925E-02   -3.3569457182E-02    2.8381303438E-02
       296   -3.5378746046E-02   -1.9596251332E-02    1.3410600732E-01
       297   -3.5371661095E-02   -2.3578252969E-02    4.3545381063E-02
       298   -3.5369201064E-02   -2.3971491924E-02    4.4272347051E-02
       299   -3.5365674912E-02   -2.2531843539E-02    1.2356295733E-01
       300   -3.5364080448E-02   -2.0444065052E-02    1.3420921151E-01
       301   -3.5362588107E-02   -3.5231177627E-02    4.2118392469E-02
       302   -3.5343217630E-02   -2.4120935429E-02    3.3094401872E-02
       303   -3.5340492635E-02   -3.6430865063E-02    3.5205002125E-02
       304   -3.5339100880E-02   -2.3687883016E-02    4.4012054787E-02
       305   -3.5338979477E-02   -2.9732593915E-02    4.7038782513E-02
       306   -3.5319454695E-02   -3.5991904691E-02    3.2582728707E-02
       307   -3.5311822718E-02   -1.0360436153E-02    1.2924889721E-01
       308   -3.5303899595E-02   -2.3567983426E-02    4.4061209506E-02
       309   -3.5297089833E-02   -2.6123945595E-02    2.8595132564E-02
       310   -3.5295281136E-02   -2.5855895088E-02    2.8957498974E-02
       311   -3.5294058543E-02   -1.4001165805E-02    1.3352927748E-01
       312   -3.5277058381E-02   -2.2851796743E-02    3.6447123745E-02
       313   -3.5272058038E-02   -3.4686778637E-02    4.3530534391E-02
       314   -3.5262742018E-02   -2.4608275979E-02    4.5804357201E-02
       315   -3.5258340485E-02   -2.3697751970E-02    3.3462156289E-02
       316   -3.5251436747E-02   -3.3956069830E-02    4.4595340811E-02
       317   -3.5233585636E-02   -1.2955321240E-02    1.2444297229E-01
       318   -3.5228931455E-02   -2.8463225577E-02    4.7721925321E-02
       319   -3.5225469099E-02   -2.4279130103E-02    3.1567709421E-02
       320   -3.5224179523E-02   -1.8406300348E-02    1.3406184751E-01
       321   -3.5212798405E-02   -3.3676328247E-02    4.5081709652E-02
       322   -3.5206791171E-02   -3.5738838990E-02    4.2003909562E-02
       323   -3.5197181817E-02   -2.2503218460E-02    1.2275976468E-01
       324   -3.5196322655E-02   -2.4035653333E-02    4.5533821968E-02
       325   -3.5191489051E-02   -3.2732273268E-02    4.6073890070E-02
       326   -3.5185314415E-02   -2.9205381565E-02    4.7853996842E-02
       327   -3.5172537973E-02   -2.4189094410E-02    4.5878039778E-02
       328   -3.5170122384E-02   -2.2639641878E-02    3.6080851875E-02
       329   -3.5167828680E-02   -2.4427593008E-02    3.0680111039E-02
       330   -3.5164675542E-02   -2.3694596043E-02    4.5258800716E-02
       331   -3.5160355173E-02   -2.8537335100E-02    4.8043148634E-02
       332   -3.5151992806E-02   -1.3924085107E-02    1.2320524759E-01
       333   -3.5150168050E-02   -3.2544567458E-02    2.6294083380E-02
       334   -3.5145633402E-02   -2.7049995854E-02    2.6822894511E-02
       335   -3.5141521100E-02   -2.2412919597E-02    3.6707572994E-02
       336   -3.5133738253E-02   -3.1568689356E-02    4.7155239979E-02
       337   -3.5128927611E-02   -3.5176270860E-02    2.8909161966E-02
       338   -3.5122917478E-02   -2.2217721544E-02    1.3182107496E-01
       339   -3.5122230661E-02   -2.7072719741E-02    2.6693855925E-02
       340   -3.5112662620E-02   -9.8726884491E-03    1.3317207709E-01
       341   -3.5106049092E-02   -1.9146247572E-02    1.3421247404E-01
       342   -3.5105116156E-02   -3.3688431782E-02    2.6866692660E-02
       343   -3.5100503997E-02   -3.2444219297E-02    4.6691197412E-02
       344   -3.5082420380E-02   -3.0075454687E-02    2.5475054514E-02
       345   -3.5082198673E-02   -9.9143177115E-03    1.3063799153E-01
       346   -3.5062534129E-02   -3.0967549252E-02    4.7789021040E-02
       347   -3.5061838169E-02   -3.0839445561E-02    4.7858268489E-02
       348   -3.5058670204E-02   -3.6433805788E-02    4.1250177736E-02
       349   -3.5048000932E-02   -3.6845508176E-02    3.2869463479E-02
       350   -3.5043529708E-02   -3.5566989354E-02    4.3237656068E-02
       351   -3.5039201198E-02   -3.6320132161E-02    3.0814656443E-02
       352   -3.5037983842E-02   -1.8579672205E-02    1.3418826914E-01
       353   -3.5030545122E-02   -2.6872814722E-02    4.8498282066E-02
       354   -3.5020927733E-02   -2.5185151606E-02    4.7726950310E-02
       355   -3.5008112560E-02   -2.7529035340E-02    4.8733484655E-02
       356   -3.5002360350E-02   -3.7304874147E-02    3.7543995316E-02
       357   -3.4997558273E-02   -1.0553358906E-02    1.2830844009E-01
       358   -3.4990057727E-02   -3.4600482167E-02    2.7218722619E-02
       359   -3.4983107533E-02   -2.2988731869E-02    4.5344222379E-02
       360   -3.4978617484E-02   -3.7321765775E-02    3.8011515677E-02
       361   -3.4975519700E-02   -1.7578053569E-02    1.3411222315E-01
       362   -3.4970692077E-02   -2.2709264599E-02    1.2397191209E-01
       363   -3.4960073203E-02   -3.7196940697E-02    3.3570899275E-02
       364   -3.4937779126E-02   -2.5311975592E-02    4.8272709959E-02
       365   -3.4930860820E-02   -2.1774949329E-02    4.2527852754E-02
       366   -3.4915974032E-02   -2.3365625116E-02    3.1256115062E-02
       367   -3.4910824417E-02   -2.3538391310E-02    3.0714931523E-02
       368   -3.4905680937E-02   -2.6206809756E-02    2.6444846186E-02
       369   -3.4903335741E-02   -3.6444333505E-02    4.2185617393E-02
       370   -3.4902343107E-02   -2.2749148476E-02    4.5471686040E-02
       371   -3.4892900634E-02   -3.5357413369E-02    4.4291539750E-02
       372   -3.4885991741E-02   -2.2409183308E-02    4.4886723337E-02
       373   -3.4882527967E-02   -2.8435044243E-02    4.9326432012E-02
       374   -3.4879228877E-02   -3.7457157438E-02    3.4066798662E-02
       375   -3.4876623764E-02   -2.3157723683E-02    3.1519339034E-02
       376   -3.4874698290E-02   -1.0487311409E-02    1.2836340193E-01
       377   -3.4861992627E-02   -3.6422644043E-02    2.9653295091E-02
       378   -3.4861529254E-02   -3.2968388922E-02    2.5309123458E-02
       379   -3.4859391534E-02   -3.0485004218E-02    4.8875330584E-02
       380   -3.4851632627E-02   -3.7354759375E-02    3.9644886781E-02
       381   -3.4837621438E-02   -2.6181693456E-02    2.6191178826E-02
       382   -3.4835556174E-02   -3.0809087016E-02    4.8821373474E-02
       383   -3.4821267449E-02   -2.1232516993E-02    4.0094761690E-02
       384   -3.4816611786E-02   -3.3729590288E-02    2.5605435384E-02
       385   -3.4816314491E-02   -3.4150582873E-02    4.6217990077E-02
       386   -3.4807260522E-02   -2.1792972965E-02    1.1891244677E-01
       387   -3.4805816265E-02   -2.1256888033E-02    4.1318952790E-02
       388   -3.4795959829E-02   -2.4981854702E-02    4.8827219912E-02
       389   -3.4791423545E-02   -9.7588139083E-03    1.3334402121E-01
       390   -3.4790790484E-02   -2.1618309777E-02    3.6229543975E-02
       391   -3.4787985823E-02   -3.6777893096E-02    3.0043285602E-02
       392   -3.4779182305E-02   -3.5082776104E-02    4.5182817099E-02
       393   -3.4776951520E-02   -3.7604457054E-02    3.9172399020E-02
       394   -3.4774306911E-02   -2.8560077559E-02    4.9794653292E-02
       395   -3.4767803273E-02   -3.6835473993E-02    3.0048479128E-02
